date,region,index,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,new_tests,new_cases,new_deaths
2020-04-16,CT,49,0.796392430937428,0.793996821565464,0.728507939367001,0.867369834580909,1001.00762617951,1140.51615982734,1527.80450660163,1129,2979,2979,1129,103
2020-04-17,CT,50,0.783737663787542,0.780917940062071,0.700777996579629,0.839704207790112,962.333509413568,1151.52227604249,1251.74417059921,925,2340,2340,925,65
2020-04-18,CT,51,0.772650178596892,0.769522420471216,0.692730167797035,0.828479575596868,922.703471380448,1156.96193587625,0,0,0,0,0,0
2020-04-19,CT,52,0.764928795896346,0.76095491349414,0.69502562590262,0.827648846216761,882.348185452898,1157.02250497962,1002.74857342056,741,2751,2751,741,50
2020-04-20,CT,53,0.757594861356574,0.756346796184911,0.685399090749191,0.82334933154351,841.496802482265,1151.96957346558,2134.07896325327,2265,4593,4593,2265,245
2020-04-21,CT,54,0.750930039323745,0.750949023557641,0.683479851894842,0.821627601211312,800.752583323135,1142.13294757041,737.514132947642,545,1386,1386,545,92
2020-04-22,CT,55,0.74584569672203,0.744827760276355,0.673901251177418,0.81137872433707,760.606682890288,1127.8850228467,1593.91060384265,2109,5726,5726,2109,121
2020-04-23,CT,56,0.738262650243279,0.736785496112632,0.664095370304228,0.800704128552229,721.314167054899,1109.63581265617,853.892509889839,631,1579,1579,631,95
2020-04-24,CT,57,0.731219484935144,0.727720800429734,0.655972021145253,0.792174863227127,683.100302804525,1087.81120108978,1111.00752871562,821,2541,2541,821,125
2020-04-25,CT,58,0.72659284655592,0.723160329516226,0.663560830954035,0.80141786047238,645.94357187496,1062.84158852346,802.606158755191,661,3564,3564,661,98
2020-04-26,CT,59,0.722723352150213,0.719588820882489,0.65809801146445,0.792428705037678,609.778744357833,1035.13630862673,929.673778596385,687,2209,2209,687,62
2020-04-27,CT,60,0.718692157142071,0.71642027540107,0.648786446665948,0.787409801221576,574.808032560234,1005.10496030235,0,0,0,0,0,74
2020-04-28,CT,61,0.717518013034055,0.713125349067039,0.639068625009527,0.774441823125449,541.277973313671,973.172991460307,348.971673112564,1043,12934,12934,1043,91
2020-04-29,CT,62,0.714755046870517,0.712767888568366,0.637790817776973,0.767383129135443,509.264288184843,939.751619720798,615.722808240692,455,2073,2073,455,79
2020-04-30,CT,63,0.712851816495378,0.711861845751199,0.643746938213061,0.776180649154428,478.847304047583,905.234699808326,1262.57006612872,933,2315,2315,933,89
2020-05-01,CT,64,0.71324323118154,0.710474455966624,0.636749602113144,0.769805000398102,450.018670274449,869.979082673156,1439.84410542439,1064,3124,3124,1064,82
2020-05-02,CT,65,0.712053359991045,0.708703463096291,0.641273791551501,0.771644324119693,422.691648079093,834.295609641961,0,0,0,0,0,0
2020-05-03,CT,66,0.711691312842679,0.707164168978479,0.637360951607027,0.769747803545566,396.907459061969,798.451104047471,707.742920241499,523,2236,2236,523,97
2020-05-04,CT,67,0.71212331825791,0.706621722821315,0.63681804439738,0.769514875697823,372.647597403227,762.706855469778,0,0,0,0,0,59
2020-05-05,CT,68,0.71282088490608,0.709456938723504,0.644285668904068,0.783584149030519,349.823585344872,727.287811083395,938.684048224019,1334,6150,6150,1334,138
2020-05-06,CT,69,0.712416021128761,0.710155086671318,0.643468905428679,0.779215958229724,328.386419114787,692.399901426789,506.110616004437,374,2804,2804,374,85
2020-05-07,CT,70,0.71380842380416,0.712718792514418,0.63690822465701,0.773978999326292,308.294211436408,658.221939087544,722.320806182452,789,4727,4727,789,79
2020-05-08,CT,71,0.714352180767719,0.714185849720756,0.647308466954297,0.782139483576283,289.450795063596,624.898929027837,621.331072067738,627,4367,4367,627,77
2020-05-09,CT,72,0.716358192898643,0.717172838812962,0.648214746998862,0.78419727999828,271.793911698779,592.551852156276,775.404767300915,573,3028,3028,573,58
2020-05-10,CT,73,0.71804602334192,0.717112478543116,0.64758857615243,0.784322416484296,255.268563489645,561.280302928954,372.442149495534,570,6623,6623,570,35
2020-05-11,CT,74,0.719585878942891,0.716978685798348,0.647226366740173,0.783190181897643,239.826235148087,531.158732255443,285.532994590739,211,2316,2316,211,41
2020-05-12,CT,75,0.721621212925393,0.720325144760122,0.648194363739346,0.784938056280463,225.413529040594,502.239987191964,415.488391359105,568,5916,5916,568,33
2020-05-13,CT,76,0.726126696822601,0.721925245723444,0.667163540322075,0.804267761902959,211.959501065838,474.55911414464,499.881294141638,522,4519,4519,522,84
2020-05-14,CT,77,0.730717816830824,0.730550460153484,0.661407299935373,0.797803215741754,199.405651645494,448.131379694816,398.165507820477,609,6619,6619,609,94
2020-05-15,CT,78,0.733647931949125,0.732632496394424,0.662914278200678,0.798685843448135,187.742042430496,422.957343612284,423.477417780406,621,6346,6346,621,66
2020-05-16,CT,79,0.737219538249081,0.73529881634684,0.67065253268661,0.806757243570099,176.951904228795,399.026664991559,302.295144567851,618,8847,8847,618,54
2020-05-17,CT,80,0.742084303699224,0.742857752994888,0.667029562079376,0.802668865463905,166.94808066607,376.320903595062,529.477401330475,716,5852,5852,716,69
2020-05-18,CT,81,0.744948066909737,0.74140489124213,0.667322474578185,0.804474346446874,157.639912388124,354.815087917543,426.510031209791,697,7072,7072,697,41
2020-05-19,CT,82,0.749690672484733,0.745543245457285,0.681994627054238,0.823433231022584,148.990015210899,334.477764239327,173.299343714707,314,7841,7841,314,23
2020-05-20,CT,83,0.752856221456126,0.752580744093647,0.673105987753619,0.811449491731384,140.943900996299,315.271590615162,488.697986754668,587,5198,5198,587,57
2020-05-21,CT,84,0.758006693602369,0.754253753857783,0.684997507522609,0.826120160822684,133.454385581902,297.158420243203,144.275726150672,191,5729,5729,191,53
2020-05-22,CT,85,0.762467640431182,0.760386165013054,0.678810084945284,0.825147982383571,126.480828151273,280.102169436818,317.885919222191,432,5881,5881,432,55
2020-05-23,CT,86,0.768825666042767,0.768472107034414,0.694807629822642,0.839073626630651,119.995880651444,264.064653642262,273.739239979202,382,6039,6039,382,38
2020-05-24,CT,87,0.772754108719419,0.772365446200451,0.68780158939613,0.836824380065226,113.976670882872,249.002788006182,334.559251299163,446,5769,5769,446,18
2020-05-25,CT,88,0.777880425162989,0.7754219707458,0.692301588886564,0.841539948585943,108.402738355392,234.871302725113,230.914907478472,405,7590,7590,405,49
2020-05-26,CT,89,0.782019318941405,0.778855849284581,0.697237813063207,0.848598242294839,103.231167098746,221.623603608001,511.779993981643,430,3636,3636,430,27
2020-05-27,CT,90,0.787143317907649,0.786109728730656,0.707214733228876,0.856083320656285,98.4167277846501,209.212459373993,0,0,3507,3507,-15,34
2020-05-28,CT,91,0.794060902188283,0.791319028228103,0.715355384750488,0.860264115952272,93.9259926303938,197.590893570523,176.19545496624,271,6656,6656,271,23
2020-05-29,CT,92,0.80113465348779,0.800021208705053,0.714766694599951,0.863723158817565,89.7381684001244,186.71335360329,149.707878678922,203,5868,5868,203,42
2020-05-30,CT,93,0.808156339931511,0.805821542237049,0.741373334703503,0.886087823998567,85.8564318269006,176.536689082808,203.023144658752,260,5542,5542,260,44
2020-05-31,CT,94,0.815272270449239,0.813315736309484,0.733884591172901,0.883052263241069,82.2755051998047,167.020995086103,242.229412472712,179,3111,3111,179,32
2020-06-01,CT,95,0.820461861033476,0.819056309384361,0.741457325608795,0.886689024279889,78.9711422984204,158.127569910271,205.618066578624,539,11344,11344,539,20
2020-06-02,CT,96,0.828692455351701,0.827580419266091,0.747742273130953,0.898694910581106,75.9169553931334,149.818145756287,112.177486225603,239,9220,9220,239,8
2020-06-03,CT,97,0.83752831651346,0.836270650117376,0.750206204212379,0.908041516645864,73.0824963676531,142.055478888162,83.1929005137884,112,5826,5826,112,17
2020-06-04,CT,98,0.844433396511465,0.842499726923935,0.761543117934841,0.917782432195586,70.4615590414304,134.803978451501,125.854279682742,148,5089,5089,148,18
2020-06-05,CT,99,0.852669286069257,0.853306961552302,0.771436594188039,0.931224791281938,68.0604913713999,128.031282978159,163.149288219718,221,5862,5862,221,31
2020-06-06,CT,100,0.860667311362191,0.859296087675901,0.775366923558558,0.934099986942612,65.8591607424133,121.708698221784,96.574671256263,358,16042,16042,358,17
2020-06-07,CT,101,0.869364997200986,0.869010327777888,0.77619414846843,0.937214550023853,63.8366376576449,115.810015775128,116.039946752579,150,5594,5594,150,16
2020-06-08,CT,102,0.877976024468429,0.878079286447787,0.785256815523578,0.949132579424391,61.9837249667958,110.310198046855,114.857028117304,124,4672,4672,124,13
2020-06-09,CT,103,0.886904182104164,0.885983629072918,0.797200095591222,0.961133944455844,60.2936888550323,105.184746760932,87.0103831841177,87,4327,4327,87,13
2020-06-10,CT,104,0.896742527965779,0.896105108912963,0.816020118201096,0.983098683502012,58.7591003504539,100.410569921035,145.929899154957,168,4982,4982,168,23
2020-06-11,CT,105,0.908913712717815,0.908333743799483,0.819798001274129,0.981890754191431,57.3727216350055,95.9673026847062,61.1549363111174,114,8067,8067,114,26
2020-06-12,CT,106,0.920671996930194,0.919814628843923,0.834192790586451,0.9983156585696,56.1314109593428,91.8361378750335,70.1709510307637,228,14061,14061,228,13
2020-06-13,CT,107,0.929854365447617,0.928298988021238,0.844132276193244,1.01194960173281,55.0450262550183,87.9988721187855,262.143496790265,305,5035,5035,305,27
2020-06-14,CT,108,0.941094373293669,0.939323170600447,0.857589335961024,1.03534407909941,54.1138379792022,84.4381513834386,56.6239619901532,94,7184,7184,94,15
2020-06-15,CT,109,0.947302185939187,0.945208142543212,0.843132797645743,1.02700276457628,53.313420565139,81.137767964393,129.245207820245,147,4922,4922,147,3
2020-06-16,CT,110,0.957849554957511,0.95635426372833,0.861515758959202,1.04322039984719,52.6321085231145,78.0828410472842,76.6646264524917,114,6435,6435,114,6
2020-06-17,CT,111,0.967601653403937,0.964271165226056,0.865790076190105,1.04754029274162,52.0504829320907,75.259700846969,75.7386377462468,80,4571,4571,80,9
2020-06-18,CT,112,0.977455635746916,0.976300806113834,0.890391350224492,1.07871784060601,51.5649844177008,72.6558872126164,6.78680931800512,11,7014,7014,11,7
2020-06-19,CT,113,0.984862953351498,0.979870725984643,0.89200157838012,1.07158918256752,51.1857635319567,70.2611164331939,42.9266147066098,117,11795,11795,117,12
2020-06-20,CT,114,0.992867724473435,0.993693935382916,0.893499962661439,1.07902167563264,50.9073718363672,68.0669785991295,179.980940628517,158,3799,3799,158,13
2020-06-21,CT,115,0.998962202802801,0.995780705529844,0.90257118445716,1.09185094403989,50.7126563380215,66.0649144284852,54.1294776475334,40,2043,2043,40,9
2020-06-22,CT,116,1.00483045409409,1.0056251354123,0.896598701777293,1.09263141846837,50.5898470866241,64.2459867457879,18.3975662390343,27,6351,6351,27,3
2020-06-23,CT,117,1.00868373363648,1.00574905110904,0.90835654151822,1.10434020669018,50.5297702422233,62.6004596949781,158.328722119035,117,0,-1484,117,14
2020-06-24,CT,118,1.01515889688923,1.01008068598474,0.927928858483944,1.12530829748792,50.5260268481222,61.1185736303359,9.35968326883461,14,6473,6473,14,10
2020-06-25,CT,119,1.01837895530751,1.01515950692812,0.918231938094875,1.11456410070071,50.5705782021838,59.7918087794294,44.6533540830981,81,7850,7850,81,11
2020-06-26,CT,120,1.02343093754733,1.01925179985678,0.93342438167038,1.13044264860884,50.6661143043127,58.6124514768599,22.1417322831157,65,12704,12704,65,9
2020-06-27,CT,121,1.02320278659347,1.02126803126825,0.931489497861029,1.13013547186431,50.8094588613724,57.5724135505281,69.1011202358514,147,9206,9206,147,4
2020-06-28,CT,122,1.02439391483889,1.02050649440292,0.911838303534395,1.11500830695867,50.995280792954,56.6633074998245,66.3142325718703,97,6330,6330,97,5
2020-06-29,CT,123,1.02497626223213,1.01908022477093,0.921257931657286,1.12642615665343,51.2029930531051,55.8763915709772,11.8965365967451,59,21462,21462,59,4
2020-06-30,CT,124,1.02771614434832,1.02322640968191,0.927000530875569,1.13450083135452,51.4177912904523,55.2029063077553,57.0199804925779,152,11536,11536,152,2
2020-07-01,CT,125,1.02755484469988,1.02486718864236,0.908676038951117,1.12508735233086,51.642779325519,54.634279468547,21.9191295105334,58,11451,11451,58,2
2020-07-02,CT,126,1.02690349330784,1.02573645779905,0.904504310353663,1.12192358366661,51.8880161987378,54.1625635646764,31.0758092821676,74,10305,10305,74,2
2020-07-03,CT,127,1.02865286004454,1.02507588148654,0.907567588411467,1.13027467374229,52.1491708648345,53.7804401549855,96.0798228243717,71,0,-28,71,9
2020-07-04,CT,128,1.02887642961978,1.02755830468966,0.902482269517795,1.1327713641749,52.4119195669205,53.4811102496295,0,0,0,-60,0,0
