state,date,reported_cases,predicted_infections_mean,predicted_infections_lower_CI_95,predicted_infections_higher_CI_95_cumulative,reported_deaths,estimated_deaths_mean,estimated_deaths_lower_CI_95,estimated_deaths_higher_CI_95,mean_time_varying_reproduction_number_R.t.,time_varying_reproduction_number_R.t._lower_CI_95,time_varying_reproduction_number_R.t._higher_CI_95,mean_infectious_individuals,infectious_individuals_lower_CI_95,infectious_individuals_higher_CI_95
CT,2020-03-16,6,4028.63528560474,2551.1272082251,6158.01955043795,0,0.661660515147055,0.264045845847149,1.40001108717215,4.12537417607812,3.10195808987408,5.2867227753404,8437.69781310532,4636.141481542,13958.448202031
CT,2020-03-17,38,3657.5150187636,2400.78732901747,5469.16474272036,0,0.857168848376071,0.359150824602777,1.74260499682617,2.93151458795122,2.16421876627057,3.86497403027676,10790.6048094283,6210.16088726395,17337.1156458556
CT,2020-03-18,0,4423.96657040244,2918.59011085047,6589.62866060501,0,1.11139019014269,0.492457872080008,2.18262166638248,2.80261282784495,2.05716507164846,3.71781390272711,13604.1705153478,8094.3959714239,21505.5825864421
CT,2020-03-19,91,4841.4649967139,3139.8787297662,7226.61672377148,2,1.44045783526144,0.672721802641926,2.71476919041476,2.50557763946587,1.80671228659466,3.36889382647713,16602.9940019432,10242.211125758,25700.7603819144
CT,2020-03-20,35,6356.68393167651,4040.91130332658,9571.44727909148,1,1.86294796279141,0.916506755957178,3.37424051225846,2.74554598353526,2.00940417414688,3.64691092120004,19793.419471885,12552.0635819439,30053.9343219161
CT,2020-03-21,0,7239.56325701048,5071.13769647715,10011.6628195076,1,2.40004295095575,1.24203950733919,4.1952130291276,2.6666558213981,2.04767696356054,3.39015032662909,23302.603324037,15066.0886838464,35253.3213063743
CT,2020-03-22,133,6716.50795263645,4709.09512271215,9251.77271144605,4,3.06848157125504,1.66167322792665,5.20846868952774,2.1025551511359,1.58073030910547,2.71639400003401,27431.3699046681,18038.654446838,41011.8051587646
CT,2020-03-23,88,5678.71339838827,3911.51537507701,7887.06529197993,2,3.89279287891001,2.18574477953692,6.42574943481281,1.52387200280561,1.09664556595981,2.03221989180774,31993.4039355567,21523.588123512,46816.0396572647
CT,2020-03-24,203,7233.71313652112,4924.3171747426,10141.9730029432,2,4.89295346891222,2.86312559401226,7.85464874018192,1.70562232932245,1.24739421983992,2.24372675125186,36266.8103792554,24874.7802195348,51974.7573279738
CT,2020-03-25,257,7275.65727913958,4853.68029088289,10377.4396134668,7,6.09130014902885,3.67469660669491,9.55035517243127,1.55382046157596,1.12300107031593,2.06813225786477,39927.8917318838,27763.5862284853,56448.0735848334
